(26304702, 139)
         product_module_code                 product_module_descr
69876                   1123                        COOKING SAUCE
70089                   1268                         ASIAN SAUCES
70197                   3560                   FRUIT REFRIGERATED
70302                   7020       AUTOMATIC DISHWASHER COMPOUNDS
70404                   8490       SHAVE CREAM OTHER THAN WOMEN'S
70416                   1336          PASTA NOODLES AND DUMPLINGS
70461                   1233                VIENNA SAUSAGE CANNED
70587                   3571                          HORSERADISH
71352                   8301                  CONTRACEPTIVES MALE
72048                   8462      COSMETICS EYEBROW AND EYE LINER
72054                   8607                 COSMETICS CONCEALERS
72237                   8468                    COSMETICS MASCARA
72261                   4350                         FRESH ONIONS
72459                   1251              MEXICAN DINNERS DRY KIT
72618                   3589          CHEESE NATURAL VARIETY PACK
72945                   3587                 CHEESE NATURAL SWISS
73431                   5036                        BRANDY COGNAC
73458                   5015                                  ALE
73503                   8524  ADHESIVE BANDAGES LIQUID POWDER PST
73545                   1185                           DIP CANNED
73731                   DEFA            LT IM PRODUCT CLASS VALUE
74007                   1045                  FRUIT JUICE NECTARS
74304                   7631   REPORT COVERS AND SHEET PROTECTORS
74955                   7445                   TAPE MISCELLANEOUS
75402                   1370             MIXES ETHNIC SPECIALTIES
75636                   1469                        BAKING POWDER
75681                   3617     LUNCHMEAT NONSLICED REFRIGERATED
75999                   7118                        RUST REMOVERS
76269                   1070      VEGETABLES CARROTS SHELF STABLE
77202                   7062                 FABRIC SOFTENERS DRY
77355                   7780    BODY MASSAGER APPLIANCE ACCESSORY
77475                   7194                  FLOOR CARE CLEANERS
77640                   7188  INSECTICIDE MISCELLANEOUS RCH PRDCT
77739                   2664                        FROZEN FRUITS
78177                   1136                       SAUCE MIX TACO
78966                   2681                       FROZEN POULTRY
80046                   1244          STEW REMAINING SHELF STABLE
80085                   1257                    MEXICAN TORTILLAS
80502                   1431                      SYRUP CHOCOLATE
80724                   8444                   DISPOSABLE DIAPERS
80727                   6019                         SCENT HOLDER
80832                   8406                    DENTURE CLEANSERS
80925                   8419               NASAL PRODUCT INTERNAL
80934                   8452                 DEPILATORIES WOMEN'S
80943                   8350                  PREGNANCY TEST KITS
81117                   8610     DISK DISKETTE AND DATA CARTRIDGE
81123                   1243                 CHICKEN SHELF STABLE
81159                   1021               CANNED FRUIT PINEAPPLE
81204                   1014                 CANNED FRUIT ORANGES
81225                   1020                   CANNED FRUIT PEARS
81369                   7727                      PAPER SHREDDERS
81522                   1182                       GARLIC SPREADS
81834                   1016       CANNED FRUIT PEACHES FREESTONE
82851                   8421                            LAXATIVES
83001                   1325                    SNACKS CORN CHIPS
83760                   7810               HOUSEHOLD STORAGE BAGS
83814                   7061             FABRIC SOFTENERS AEROSOL
84024                   1440                                COCOA
84267                   7219          INSECTICIDE WASP AND HORNET
84273                   7783    RAZOR TRIMMER APPLIANCE ACCESSORY
84291                   7080                    BLEACH LIQUID GEL
84375                   6035    SCHOOL AND OFFICE MEASURERS SHRPN
85146                   3565              SAUERKRAUT REFRIGERATED
